frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,type
"0.001946000","0.001946000","1535971845.756162000",,"0.027650000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","97",,,,,"1",,"0",,,,"97",,"0",,"11","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.002566000","0.002566000","1535971845.758728000",,"0.030216000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"12","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.019252000","0.019252000","1535971845.777980000",,"0.049468000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","150",,,,,"1",,"0",,,,"150",,"0",,"13","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000281000","0.000281000","1535971845.778261000",,"0.049749000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","97",,,,,"1",,"0",,,,"97",,"0",,"14","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.005406000","0.005406000","1535971845.783667000",,"0.055155000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","223",,,,,"1",,"0",,,,"223",,"0",,"15","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.013985000","0.013985000","1535971845.797652000",,"0.069140000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","166",,,,,"1",,"0",,,,"166",,"0",,"16","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.005605000","0.005605000","1535971845.803257000",,"0.074745000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","66",,,,,"1",,"0",,,,"66",,"0",,"17","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.006420000","0.006420000","1535971845.809677000",,"0.081165000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","389",,,,,"1",,"0",,,,"389",,"0",,"18","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.005479000","0.005479000","1535971845.815156000",,"0.086644000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","148",,,,,"1",,"0",,,,"148",,"0",,"19","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000101000","0.000101000","1535971845.815257000",,"0.086745000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","101",,,,,"1",,"0",,,,"101",,"0",,"20","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000086000","0.000086000","1535971845.815343000",,"0.086831000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","101",,,,,"1",,"0",,,,"101",,"0",,"21","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.002210000","0.002210000","1535971845.817553000",,"0.089041000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","118",,,,,"1",,"0",,,,"118",,"0",,"22","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000095000","0.000095000","1535971845.817648000",,"0.089136000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"23","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000409000","0.000409000","1535971845.818057000",,"0.089545000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"24","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.005135000","0.005135000","1535971845.823192000",,"0.094680000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","66",,,,,"1",,"0",,,,"66",,"0",,"25","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000117000","0.000117000","1535971845.823309000",,"0.094797000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","105",,,,,"1",,"0",,,,"105",,"0",,"26","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000058000","0.000058000","1535971845.823367000",,"0.094855000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","66",,,,,"1",,"0",,,,"66",,"0",,"27","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.002803000","0.002803000","1535971845.826170000",,"0.097658000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"28","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000544000","0.000544000","1535971845.826714000",,"0.098202000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"29","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000120000","0.000120000","1535971845.826834000",,"0.098322000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"30","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"1.983358000","1.983358000","1535971847.810192000",,"2.081680000","192.168.1.234","192.168.1.171","49153","1883","a0:20:a6:17:44:ed","74:d4:35:ef:e5:5a","56",,,,,"1",,"0",,,,"56",,"0",,"31","0.000000000",,,,,,,,,,,,,,,,"0x000000c0",,"0",,,"12",,,,,,,,,,,,,,,,,,normal
"0.000976000","0.000976000","1535971847.811168000",,"2.082656000","192.168.1.171","192.168.1.234","1883","49153","74:d4:35:ef:e5:5a","a0:20:a6:17:44:ed","60",,,,,"1",,"0",,,,"60",,"0",,"32","0.000000000",,,,,,,,,,,,,,,,"0x000000d0",,"0",,,"13",,,,,,,,,,,,,,,,,,normal
"0.154697000","0.154697000","1535971847.965865000",,"2.237353000","192.168.1.234","192.168.1.171","49153","1883","a0:20:a6:17:44:ed","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,,,"54",,"0",,"33","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.513342000","0.513342000","1535971848.479207000",,"2.750695000","192.168.1.102","192.168.1.171","59130","3000","30:5a:3a:62:72:80","74:d4:35:ef:e5:5a","64",,,,,"1",,"0",,,,"64",,"0",,"34","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.002709000","0.002709000","1535971848.481916000",,"2.753404000","192.168.1.171","192.168.1.102","3000","59130","74:d4:35:ef:e5:5a","30:5a:3a:62:72:80","65",,,,,"1",,"0",,,,"65",,"0",,"35","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.004609000","0.004609000","1535971848.486525000",,"2.758013000","192.168.1.102","192.168.1.171","59130","3000","30:5a:3a:62:72:80","74:d4:35:ef:e5:5a","60",,,,,"1",,"0",,,,"60",,"0",,"36","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"2.826739000","2.826739000","1535971851.313264000",,"5.584752000","192.168.1.193","192.168.1.171","49153","1883","68:c6:3a:8b:d0:1e","74:d4:35:ef:e5:5a","56",,,,,"1",,"0",,,,"56",,"0",,"37","0.000000000",,,,,,,,,,,,,,,,"0x000000c0",,"0",,,"12",,,,,,,,,,,,,,,,,,normal
"0.000989000","0.000989000","1535971851.314253000",,"5.585741000","192.168.1.171","192.168.1.193","1883","49153","74:d4:35:ef:e5:5a","68:c6:3a:8b:d0:1e","60",,,,,"1",,"0",,,,"60",,"0",,"38","0.000000000",,,,,,,,,,,,,,,,"0x000000d0",,"0",,,"13",,,,,,,,,,,,,,,,,,normal
"0.077080000","0.077080000","1535971851.391333000",,"5.662821000","192.168.1.171","192.168.1.227","3000","43398","74:d4:35:ef:e5:5a","48:5a:3f:93:39:9c","60",,,,,"1",,"0",,,,"60",,"0",,"39","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.057260000","0.057260000","1535971851.448593000",,"5.720081000","192.168.1.193","192.168.1.171","49153","1883","68:c6:3a:8b:d0:1e","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,,,"54",,"0",,"40","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.243407000","0.243407000","1535971851.692000000",,"5.963488000","192.168.1.171","192.168.1.227","3000","43398","74:d4:35:ef:e5:5a","48:5a:3f:93:39:9c","60",,,,,"1",,"0",,,,"60",,"0",,"41","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.478163000","0.478163000","1535971852.170163000",,"6.441651000","192.168.1.227","192.168.1.171","43398","3000","48:5a:3f:93:39:9c","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,,,"54",,"0",,"42","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000062000","0.000062000","1535971852.170225000",,"6.441713000","192.168.1.227","192.168.1.171","43398","3000","48:5a:3f:93:39:9c","74:d4:35:ef:e5:5a","66",,,,,"1",,"0",,,,"66",,"0",,"43","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.141353000","0.141353000","1535971852.311578000",,"6.583066000","192.168.1.227","192.168.1.171","43398","3000","48:5a:3f:93:39:9c","74:d4:35:ef:e5:5a","62",,,,,"1",,"0",,,,"62",,"0",,"44","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001059000","0.001059000","1535971852.312637000",,"6.584125000","192.168.1.171","192.168.1.227","3000","43398","74:d4:35:ef:e5:5a","48:5a:3f:93:39:9c","60",,,,,"1",,"0",,,,"60",,"0",,"45","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001752000","0.001752000","1535971852.314389000",,"6.585877000","192.168.1.227","192.168.1.171","43398","3000","48:5a:3f:93:39:9c","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,,,"54",,"0",,"46","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000249000","0.000249000","1535971852.314638000",,"6.586126000","192.168.1.171","192.168.1.227","3000","43398","74:d4:35:ef:e5:5a","48:5a:3f:93:39:9c","60",,,,,"1",,"0",,,,"60",,"0",,"47","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.285813000","0.285813000","1535971852.600451000",,"6.871939000","192.168.1.133","192.168.1.171","49153","1883","60:01:94:37:e0:e1","74:d4:35:ef:e5:5a","56",,,,,"1",,"0",,,,"56",,"0",,"48","0.000000000",,,,,,,,,,,,,,,,"0x000000c0",,"0",,,"12",,,,,,,,,,,,,,,,,,normal
"0.000991000","0.000991000","1535971852.601442000",,"6.872930000","192.168.1.171","192.168.1.133","1883","49153","74:d4:35:ef:e5:5a","60:01:94:37:e0:e1","60",,,,,"1",,"0",,,,"60",,"0",,"49","0.000000000",,,,,,,,,,,,,,,,"0x000000d0",,"0",,,"13",,,,,,,,,,,,,,,,,,normal
"0.156502000","0.156502000","1535971852.757944000",,"7.029432000","192.168.1.133","192.168.1.171","49153","1883","60:01:94:37:e0:e1","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,,,"54",,"0",,"50","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"4.108989000","4.108989000","1535971856.866933000",,"11.138421000",,,,,"74:d4:35:ef:e5:5a","48:5a:3f:93:39:9c","60",,,,,"1",,"0",,,,"60",,"0",,"51","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.429225000","0.429225000","1535971857.296158000",,"11.567646000",,,,,"30:5a:3a:62:72:80","18:a6:f7:eb:77:26","108",,,,,"1",,"0",,,,"108",,"0",,"52","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000148000","0.000148000","1535971857.296306000",,"11.567794000",,,,,"30:5a:3a:62:72:80","18:a6:f7:eb:77:26","108",,,,,"1",,"0",,,,"108",,"0",,"53","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001208000","0.001208000","1535971857.297514000",,"11.569002000",,,,,"18:a6:f7:eb:77:26","30:5a:3a:62:72:80","215",,,,,"1",,"0",,,,"215",,"0",,"54","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.009221000","0.009221000","1535971857.306735000",,"11.578223000",,,,,"18:a6:f7:eb:77:26","30:5a:3a:62:72:80","255",,,,,"1",,"0",,,,"255",,"0",,"55","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.003402000","0.003402000","1535971857.310137000",,"11.581625000","192.168.1.196","2.21.171.225","53489","80","30:5a:3a:62:72:80","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"56","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.032731000","0.032731000","1535971857.342868000",,"11.614356000","2.21.171.225","192.168.1.196","80","53489","18:a6:f7:eb:77:26","30:5a:3a:62:72:80","66",,,,,"1",,"0",,,,"66",,"0",,"57","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.004001000","0.004001000","1535971857.346869000",,"11.618357000","192.168.1.196","2.21.171.225","53489","80","30:5a:3a:62:72:80","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"58","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000138000","0.000138000","1535971857.347007000",,"11.618495000","192.168.1.196","2.21.171.225","53489","80","30:5a:3a:62:72:80","18:a6:f7:eb:77:26","269",,,,,"1",,"0",,,,"269",,"0",,"59","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.019960000","0.019960000","1535971857.366967000",,"11.638455000",,,,,"74:d4:35:ef:e5:5a","60:01:94:37:e0:e1","60",,,,,"1",,"0",,,,"60",,"0",,"60","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.012718000","0.012718000","1535971857.379685000",,"11.651173000","2.21.171.225","192.168.1.196","80","53489","18:a6:f7:eb:77:26","30:5a:3a:62:72:80","54",,,,,"1",,"0",,,,"54",,"0",,"61","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001032000","0.001032000","1535971857.380717000",,"11.652205000","2.21.171.225","192.168.1.196","80","53489","18:a6:f7:eb:77:26","30:5a:3a:62:72:80","1514",,,,,"1",,"0",,,,"1514",,"0",,"62","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000093000","0.000093000","1535971857.380810000",,"11.652298000","2.21.171.225","192.168.1.196","80","53489","18:a6:f7:eb:77:26","30:5a:3a:62:72:80","258",,,,,"1",,"0",,,,"258",,"0",,"63","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.008186000","0.008186000","1535971857.388996000",,"11.660484000","192.168.1.196","2.21.171.225","53489","80","30:5a:3a:62:72:80","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"64","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.099973000","0.099973000","1535971857.488969000",,"11.760457000",,,,,"60:01:94:37:e0:e1","74:d4:35:ef:e5:5a","42",,,,,"1",,"0",,,,"42",,"0",,"65","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.200921000","0.200921000","1535971857.689890000",,"11.961378000",,,,,"48:5a:3f:93:39:9c","74:d4:35:ef:e5:5a","42",,,,,"1",,"0",,,,"42",,"0",,"66","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.314636000","0.314636000","1535971858.004526000",,"12.276014000","192.168.1.133","192.168.1.171","49153","1883","60:01:94:37:e0:e1","74:d4:35:ef:e5:5a","81",,,,,"1",,"0",,,,"81",,"0",,"67","0.000000000",,,,,,,,,,,,,,,"0","0x00000030",,"25","400",,"3",,,,,"0","0",,,"distance/ultrasonic1","20",,,,,,,,normal
"0.012596000","0.012596000","1535971858.017122000",,"12.288610000","192.168.1.171","192.168.1.102","3000","59130","74:d4:35:ef:e5:5a","30:5a:3a:62:72:80","90",,,,,"1",,"0",,,,"90",,"0",,"68","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001525000","0.001525000","1535971858.018647000",,"12.290135000","192.168.1.102","192.168.1.171","59130","3000","30:5a:3a:62:72:80","74:d4:35:ef:e5:5a","60",,,,,"1",,"0",,,,"60",,"0",,"69","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.027466000","0.027466000","1535971858.046113000",,"12.317601000","192.168.1.171","192.168.1.133","1883","49153","74:d4:35:ef:e5:5a","60:01:94:37:e0:e1","60",,,,,"1",,"0",,,,"60",,"0",,"70","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.434013000","0.434013000","1535971858.480126000",,"12.751614000","192.168.1.102","192.168.1.171","59130","3000","30:5a:3a:62:72:80","74:d4:35:ef:e5:5a","64",,,,,"1",,"0",,,,"64",,"0",,"71","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001406000","0.001406000","1535971858.481532000",,"12.753020000","192.168.1.171","192.168.1.102","3000","59130","74:d4:35:ef:e5:5a","30:5a:3a:62:72:80","65",,,,,"1",,"0",,,,"65",,"0",,"72","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.008181000","0.008181000","1535971858.489713000",,"12.761201000","192.168.1.102","192.168.1.171","59130","3000","30:5a:3a:62:72:80","74:d4:35:ef:e5:5a","60",,,,,"1",,"0",,,,"60",,"0",,"73","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"2.933675000","2.933675000","1535971861.423388000",,"15.694876000","192.168.1.102","192.168.1.171","59130","3000","30:5a:3a:62:72:80","74:d4:35:ef:e5:5a","64",,,,,"1",,"0",,,,"64",,"0",,"74","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001310000","0.001310000","1535971861.424698000",,"15.696186000","192.168.1.171","192.168.1.193","1883","49153","74:d4:35:ef:e5:5a","68:c6:3a:8b:d0:1e","70",,,,,"1",,"0",,,,"70",,"0",,"75","0.000000000",,,,,,,,,,,,,,,"0","0x00000030",,"14","1",,"3",,,,,"0","0",,,"light/rele1","11",,,,,,,,normal
"0.008402000","0.008402000","1535971861.433100000",,"15.704588000","192.168.1.171","192.168.1.102","3000","59130","74:d4:35:ef:e5:5a","30:5a:3a:62:72:80","79",,,,,"1",,"0",,,,"79",,"0",,"76","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001725000","0.001725000","1535971861.434825000",,"15.706313000","192.168.1.102","192.168.1.171","59130","3000","30:5a:3a:62:72:80","74:d4:35:ef:e5:5a","60",,,,,"1",,"0",,,,"60",,"0",,"77","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.113484000","0.113484000","1535971861.548309000",,"15.819797000","192.168.1.193","192.168.1.171","49153","1883","68:c6:3a:8b:d0:1e","74:d4:35:ef:e5:5a","54",,,,,"1",,"0",,,,"54",,"0",,"78","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.395346000","0.395346000","1535971861.943655000",,"16.215143000","192.168.1.102","192.168.1.171","59130","3000","30:5a:3a:62:72:80","74:d4:35:ef:e5:5a","64",,,,,"1",,"0",,,,"64",,"0",,"79","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.002242000","0.002242000","1535971861.945897000",,"16.217385000","192.168.1.171","192.168.1.193","1883","49153","74:d4:35:ef:e5:5a","68:c6:3a:8b:d0:1e","70",,,,,"1",,"0",,,,"70",,"0",,"80","0.000000000",,,,,,,,,,,,,,,"0","0x00000030",,"14","0",,"3",,,,,"0","0",,,"light/rele1","11",,,,,,,,normal
"0.016269000","0.016269000","1535971861.962166000",,"16.233654000","192.168.1.171","192.168.1.102","3000","59130","74:d4:35:ef:e5:5a","30:5a:3a:62:72:80","79",,,,,"1",,"0",,,,"79",,"0",,"81","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
